,Y_test,default_linear_learner,default_tree_learner,lasso_learner,linear_svr_learner,kernel_ridge_learner,esn_ridge_learner,esn_kernel_ridge_learner,esn_linear_svr_learner
93,0.0,-109.16308464257732,-911.5121414329243,-1077.3351224969426,-725.5327252979695,-907.717562890937,-1061.5191684190002,-606.6767276872789,-645.543401794691
94,0.01,-122.30002265227814,-911.5121414329243,-1077.3351224969426,-730.7497555184121,-906.0579224034786,-1114.6069075747168,-603.6037197394257,-665.0751942326061
95,0.02,-139.55434041587108,-911.5121414329243,-1077.3296380936702,-747.0177203347442,-923.6429730384385,-1054.8039648432602,-588.4358638768359,-688.2326694318984
96,98.16,-149.93939040740722,-911.5121414329243,-1077.324153690401,-757.9915679532913,-887.0123806369609,-1137.0327265873464,-655.1077393477026,-694.1322769979815
97,645.19,-128.87216806974698,-1134.1368014170841,-1023.5002200424146,-706.79554341475,-824.6060123595231,-1197.3225402140768,-663.8032130768651,-666.397881305032
98,6.69,120.66322446346376,-193.31987742020755,-723.4869082076444,-380.2904483232664,-503.88002840489287,-758.6538769790051,-396.2467193134525,-415.17204971464554
99,209.28,-69.1855050630581,-1134.1368014170841,-1073.6660567122938,-720.9773683843553,-714.9366700631334,-870.480039490635,-557.1241212112972,-656.3707444177026
100,1681.47,97.89122604912868,-351.1375524679221,-962.5575309557456,-591.6147523505102,-526.5193027240302,-446.77327555126686,-487.61417348974294,-545.0858587269638
101,1982.48,633.3042737951533,1328.4079069040092,-155.14916660640515,176.79741298012885,347.1350822300088,166.24016950145003,62.90141172772811,122.17939396223193
102,1514.3,731.574807554801,2498.7666733070646,9.936856089566495,327.8159237981903,771.2562808045351,983.015550128119,492.81413965660573,321.02187385766257
103,751.58,532.9471442658336,758.0728718817923,-246.8319359964297,63.31439120989038,464.76566500006345,819.2810450372648,301.6915917656871,174.574749249623
104,1075.25,279.6807685132332,-193.31987742020755,-665.1383418655755,-334.76715914428524,-17.940248746032836,302.80243060780646,11.778442317088619,-198.52821576713734
105,1360.31,431.7680572422472,2215.8583152814294,-487.6246613698888,-160.57734621750572,122.8292892730406,142.44233624366723,-20.083979160029962,-104.34163268352933
106,2351.34,502.30413354145725,2522.227606797994,-331.2862618824488,2.9346432478860165,259.2067720355261,197.94816224376328,15.111674822328146,51.95888122203506
107,6389.02,889.1507200810535,5658.985480314813,212.23455494222515,544.8887563121909,1071.4419856651489,972.4205324335957,579.4569978684415,463.38365254090263
108,4575.01,2552.1280346115027,5605.383974366415,2426.6610926622375,2681.023711272952,3175.3486668810983,3137.426192738601,2266.6552570185013,2218.3677174016966
109,6780.9,1778.612919942433,3555.897728138519,1431.7848558902529,1611.75821978571,2665.754919726715,3152.287786725523,1752.5293913627759,1894.6057023617172
110,1379.18,2771.198847850745,3335.3557242712013,2641.5838878321556,2794.526472747557,3432.9326871011513,3726.3874707077957,2660.258770803077,2880.4063824176037
111,1627.77,350.9287342087729,758.0728718817923,-320.93719292038236,-208.74612571861374,986.1326466835582,1174.9846638423828,705.5809801825859,467.91034824427913
112,2974.0,458.60145863479033,758.0728718817923,-184.6004121423565,64.98610450275741,414.36012878313835,448.77174828933704,659.706756799953,142.2993365334102
113,3632.1,1066.7074042777583,2204.3320601480027,553.7264086742566,799.2789686637841,1340.5866068471778,1189.3147845936733,1198.9996957480105,678.3448121769886
114,1339.61,1317.982793212781,2204.3320601480027,914.6549875793592,1112.2610553791676,1824.0231284121016,2108.6824479205384,1324.5942277249526,1069.7053150800439
115,619.18,401.55148501032187,-193.31987742020755,-342.638976642107,-124.00058421509144,670.0556357617694,601.9998628797346,673.7533480438801,74.4337475373098
116,114.41,91.32233412729065,-1134.1368014170841,-737.7518411013178,-454.49492939963864,-223.38502843285087,-322.203461034077,244.74309757421364,-311.11137228469875
117,49.35,-42.41611462240453,-351.1375524679221,-1014.5880647359031,-683.4493667838952,-614.1807118299336,-583.2014312511831,15.794719901687126,-575.9627521533573
118,945.62,-105.81271731683462,-1134.1368014170841,-1050.2695923815045,-720.0713595969091,-766.9750365185874,-758.1391547470512,-174.94750618999763,-594.3601347151791
119,2920.76,212.2546524755865,799.5662566919825,-558.7189809010673,-256.03578713694037,-179.01691642374817,-53.880079326321685,189.5554817266311,-227.34189655064708
